[697.584541062802, 192.26811594202894]
[671.4975845410629, 146.37439613526564]
[646.376811594203, 104.8285024154589]
[597.1014492753624, 186.47101449275357]
[570.5314009661836, 138.1618357487922]
[559.4202898550725, 79.70772946859898]
[576.3888888888889, 264.72222222222223]
[557.0048309178744, 305.7946859903381]
[657.4879227053141, 259.41787439613523]
[554.4444444444445, 143.33333333333334]
[657.5, 334.44444444444446]
[684.0579710144928, 385.50483091787436]
[735.5555555555555, 416.38888888888886]
[629.9516908212561, 423.66908212560384]
[607.2463768115942, 367.63043478260863]
[612.56038647343, 315.93961352657]
[588.8888888888889, 114.72222222222221]
[483.5748792270532, 385.98792270531396]
[453.1400966183575, 434.7801932367149]
[458.9371980676329, 496.6159420289855]
[560.3864734299517, 437.6787439613526]
[566.6666666666667, 494.2004830917874]
[580.1932367149759, 543.9589371980677]
[454.5893719806764, 556.036231884058]
[505.31400966183577, 566.6642512077295]
[502.22222222222223, 638.8888888888889]
[539.6135265700484, 656.5193236714977]
[551.6908212560387, 609.1763285024155]
[500.96618357487927, 806.7608695652175]
[476.32850241545896, 765.2149758454107]
[455.5555555555556, 806.7608695652175]
[331.8840579710145, 878.7415458937198]
[289.3719806763285, 914.0072463768116]
[242.512077294686, 928.5000000000001]
[418.35748792270533, 1161.3502415458936]
[384.5410628019324, 1113.0410628019324]
[374.44444444444446, 1056.6666666666667]
[426.5700483091788, 1118.8381642512077]
[420.2898550724638, 1339.1280193236714]
[325.1207729468599, 1316.9057971014493]
[293.2367149758454, 1262.316425120773]
[286.47342995169083, 1202.8961352657004]
[455.8333333333333, 1433.0555555555554]
[470.53140096618364, 1513.524154589372]
[361.352657004831, 1399.0314009661836]
[373.42995169082127, 1450.7222222222222]
[298.0676328502416, 1365.6980676328503]
[343.3333333333333, 1509.1666666666667]
[383.05555555555554, 1545.2777777777778]
[438.1642512077295, 1560.3840579710145]
[352.6570048309179, 1600.963768115942]
[314.00966183574883, 1557.4855072463768]
[300.8333333333333, 1512.7777777777778]
[242.512077294686, 1559.4178743961352]
[204.34782608695653, 1610.6256038647343]
[184.05797101449278, 1575.3599033816424]
[258.45410628019323, 1574.3937198067633]
[298.5507246376812, 1651.6884057971015]
[312.56038647342996, 1718.8381642512077]
[294.6859903381643, 1772.461352657005]
[329.9516908212561, 1839.1280193236714]
[201.93236714975848, 1819.3212560386473]
[170.53140096618358, 1866.18115942029]
[565.2173913043479, 191.3019323671497]
[600.9661835748793, 225.60144927536226]
[577.7777777777778, 67.14734299516904]
[427.0531400966184, 604.828502415459]
[426.0869565217392, 654.5869565217391]
[499.51690821256045, 606.2777777777778]
[552.6570048309179, 550.2391304347826]
[394.2028985507247, 763.2826086956522]
[462.3188405797102, 709.6594202898551]
[474.39613526570054, 1370.5289855072463]
[373.9130434782609, 1336.229468599034]
[119.80676328502416, 1889.852657004831]
[198.06763285024155, 2237.195652173913]
