[182.2608695652174, 100.23913043478268]
[210.66666666666666, 141.68840579710152]
[225.15942028985506, 190.67391304347834]
[150.08695652173913, 244.29710144927543]
[144.57971014492753, 289.2246376811595]
[117.91304347826087, 334.4420289855073]
[218.20289855072463, 456.4710144927537]
[211.82608695652175, 513.2826086956521]
[182.84057971014494, 561.6884057971015]
[175.0144927536232, 731.5434782608695]
[140.23188405797103, 777.9202898550725]
[135.30434782608697, 927.7753623188405]
[125.44927536231884, 980.5289855072464]
[197.33333333333334, 1209.804347826087]
[200.52173913043478, 1278.7898550724638]
[205.44927536231884, 1444.0072463768117]
[230.95652173913044, 1492.9927536231885]
[202.2608695652174, 1586.9057971014493]
[190.95652173913044, 1642.268115942029]
